43.951333,-92.437833,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"55904, Rochester, Minnesota, US",chrispherp
43.959833,-92.356667,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"4000–4270 60th Ave SE, Rochester, Minnesota, US",chrispherp
44.0295,-92.4315,Chelydra serpentina,Common Snapping Turtle,Reptilia,"1451–1713 Silver Creek Rd NE, Rochester, Minnesota, US",chrispherp
44.0278333333,-92.489,Thamnophis radix,Plains Garter Snake,Reptilia,"411–599 17th Ave NW, Rochester, Minnesota, US",chrispherp
44.0281666667,-92.492,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"427 West Frontage Hwy 52 Rd Nw, Rochester, Minnesota, US",chrispherp
47.221665,-95.195324,Chrysemys picta,Painted Turtle,Reptilia,"Itasca State Park, MN",markg
45.080464,-92.793245,Graptemys pseudogeographica,False Map Turtle,Reptilia,"Stillwater, minnesota",happymoose
46.7993460622,-96.1211013845,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Becker County, MN, USA",sgoodchild
46.7649907484,-96.2336257473,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Parke Township, MN, USA",cideeci
45.055,-92.9698333333,Chrysemys picta,Painted Turtle,Reptilia,"Birchwood Village, MN, USA",millennialmyces
46.5834116317,-96.3378177897,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Minnesota, US",danders4
44.8826480694,-93.1800379491,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Hennepin County, MN, USA",cmlr
44.8852630826,-93.1851877904,Chrysemys picta,Painted Turtle,Reptilia,"Hennepin County, MN, USA",cmlr
44.7785191637,-93.1642866221,Chrysemys picta,Painted Turtle,Reptilia,"Jensen Lake Playground, Lebanon Hills Regional Park, Eagan, MN, USA",goldygopher75
46.5384057,-93.347127,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Auto Tour Rd, Minnesota, USA",mnwild
48.1187744022,-96.1747941747,Chrysemys picta,Painted Turtle,Reptilia,"Thief River Falls, MN 56701, USA",shaunimulder94
44.2160528349,-91.848934266,Chrysemys picta,Painted Turtle,Reptilia,"Minnesota, US",mtjones
44.8621967,-93.6162791,Thamnophis sirtalis,Common Garter Snake,Reptilia,"3675 Arboretum Dr, Chaska, MN 55318, USA",christoph_moning
44.8621967,-93.6162791,Chrysemys picta,Painted Turtle,Reptilia,"3675 Arboretum Dr, Chaska, MN 55318, USA",christoph_moning
44.924882,-94.370309,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Wright County, MN, USA",frankziegler
45.0996513889,-93.0502244444,Chelydra serpentina,Common Snapping Turtle,Reptilia,"White Bear Lake, MN, USA",frankziegler
45.065946,-94.604754,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Meeker County, MN, USA",frankziegler
45.065023,-94.602824,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Meeker County, MN, USA",frankziegler
45.088954,-94.301183,Apalone spinifera,Spiny Softshell,Reptilia,"Dassel, MN 55325, USA",frankziegler
45.159215,-94.273912,Apalone spinifera,Spiny Softshell,Reptilia,"Dassel, MN 55325, USA",frankziegler
45.1148052843,-93.0228433119,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, US",frankziegler
44.3820960391,-91.9168352047,Coluber constrictor flaviventris,Eastern Yellow-bellied Racer,Reptilia,"Minnesota, US",jeff_leclere
44.0138261955,-93.2794828731,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Saco Farm, Steele County, MN, USA",pauls_tucson
46.5385877656,-95.8342139864,Thamnophis sirtalis,Common Garter Snake,Reptilia,"395th St, Dent, MN, US",entzion
44.33425,-92.13907,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"Dumfries, Minnesota, United States",squamatologist
44.32969,-92.1393,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,"Dumfries, Minnesota, United States",squamatologist
44.3096400038,-92.5138651556,Lampropeltis triangulum,Eastern Milksnake,Reptilia,"Minnesota, US",squamatologist
45.9377056189,-92.7293760188,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",squamatologist
46.8041796137,-96.5347948183,Heterodon nasicus,Plains Hognose Snake,Reptilia,"Clay County, US-MN, US",squamatologist
46.86424,-96.468511,Thamnophis sirtalis parietalis,Red-sided Garter Snake,Reptilia,"Muskoda, Minnesota, United States",squamatologist
44.2474903059,-93.9783642319,Coluber constrictor flaviventris,Eastern Yellow-bellied Racer,Reptilia,"Minnesota, US",squamatologist
45.3680264989,-93.1572915003,Pituophis catenifer sayi,Bullsnake,Reptilia,"Minnesota, US",squamatologist
45.40539,-93.19848,Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,"Bethel, Minnesota, United States",squamatologist
44.32932,-92.05914,Aspidoscelis sexlineatus viridis,Prairie Racerunner,Reptilia,"Wabasha, Minnesota, United States",squamatologist
43.7531,-91.90801,Nerodia sipedon sipedon,Northern Watersnake,Reptilia,"Lanesboro, Minnesota, United States",squamatologist
44.1912697509,-91.8350026295,Diadophis punctatus arnyi,Prairie Ringneck Snake,Reptilia,"Minnesota, US",squamatologist
44.089015612,-91.9020920331,Aspidoscelis sexlineatus viridis,Prairie Racerunner,Reptilia,"Minnesota, US",squamatologist
44.9797717631,-93.3232640789,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Golden Valley, MN, USA",watts_
45.2162252603,-92.7787192877,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Marine on St Croix, MN 55047, USA",dave21779
45.1007468909,-93.548008138,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",cherylbatson
45.0949189461,-93.5889579266,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Hennepin County, US-MN, US",cherylbatson
47.2511666667,-92.4426666667,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Cotton, MN, US",bogben
48.0010416,-91.3362479,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Minnesota, USA",brobin
44.2383132873,-93.9158583573,Chrysemys picta,Painted Turtle,Reptilia,"Kasota, MN, US",jillymags
45.5122809034,-92.7280854392,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Chisago County, MN, USA",naturalistdave99
44.7677728088,-93.1804885193,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Apple Valley, MN 55124, USA",davidholmen
44.8646666667,-93.5085,Chrysemys picta,Painted Turtle,Reptilia,"Eden Prairie, MN, USA",wblack6289
47.0932945394,-94.9145250906,Chelydra serpentina,Common Snapping Turtle,Reptilia,"Nevis, MN, US",schmint
45.3982913017,-93.3444635331,Thamnophis radix,Plains Garter Snake,Reptilia,"Minnesota, US",carissab
44.8721208185,-93.6805252615,Chrysemys picta bellii,Western Painted Turtle,Reptilia,"Carver Park Reserve, Victoria, MN, US",kevin193
43.758299,-92.004452,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Minnesota Memorial Hardwood State Forest, Lanesboro, MN, US",toddnoel91
44.905511,-92.826646,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"13436–13698 30th St S, Afton, Minnesota, US",danielgeorge
45.256323284,-93.8276610596,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",eleta
45.391975423,-93.9178527153,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",benny2014
45.206444397,-93.8154060251,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",rager001
44.9311218262,-95.7154693604,Chrysemys picta,Painted Turtle,Reptilia,,rager001
46.120144,-92.997699,Chrysemys picta,Painted Turtle,Reptilia,"Northwoods, Sandstone, MN, US",hselen
45.2135190079,-93.9721733898,Emydoidea blandingii,Blanding's Turtle,Reptilia,"Minnesota, US",rager001
43.5942,-91.2814,Chelydra serpentina,Common Snapping Turtle,Reptilia,"marsh along hwy 26, Houston Co., MN",greglasley
43.602926,-91.271667,Graptemys pseudogeographica,False Map Turtle,Reptilia,"Reno Bottoms Mississippi River Access, Houston Co., MN",greglasley
43.602574,-91.271428,Graptemys geographica,Northern Map Turtle,Reptilia,"Reno Bottoms Mississippi River Access,  Houston Co., Minnesota",greglasley
48.1209,-92.5336,Chrysemys picta,Painted Turtle,Reptilia,"Orr-Buyck Road, St. Louis Co., Minnesota",greglasley
45.552358494,-96.9418047379,Storeria occipitomaculata,Red-bellied Snake,Reptilia,"Minnesota, US",skiman1016
47.770116,-94.084607,Thamnophis sirtalis,Common Garter Snake,Reptilia,"Lost 40 SNA, MN",elhaase
